Time,GeoType,GeoID,GeoRank,Geography,"Average annual age-adjusted rate per 10,000",Average annual number,"Average annual rate per 10,000"
2012-2014,NTA2010,501,8,Claremont-Bathgate,86.2,176,75.8
2012-2014,NTA2010,503,8,Eastchester-Edenwald-Baychester,39.5,107,40.1
2012-2014,NTA2010,505,8,Bedford Park-Fordham North,60.0,213,52.5
2012-2014,NTA2010,506,8,Belmont,64.4,104,49.6
2012-2014,NTA2010,507,8,Bronxdale,42.6,123,41.8
2012-2014,NTA2010,508,8,West Farms-Bronx River,43.9,109,40.1
2012-2014,NTA2010,509,8,Soundview-Castle Hill-Clason Point-Harding Park,49.6,207,50.3
2012-2014,NTA2010,510,8,Pelham Bay-Country Club-City Island,19.4,48,22.1
2012-2014,NTA2010,513,8,Co-op City,18.6,86,21.5
2012-2014,NTA2010,514,8,East Concourse-Concourse Village,50.3,234,48.9
2012-2014,NTA2010,517,8,East Tremont,73.8,216,69.1
2012-2014,NTA2010,522,8,North Riverdale-Fieldston-Riverdale,8.2,24,10.7
2012-2014,NTA2010,526,8,Highbridge,52.1,135,47.6
2012-2014,NTA2010,527,8,Hunts Point,75.6,136,69.4
2012-2014,NTA2010,528,8,Van Cortlandt Village,30.7,116,29.8
2012-2014,NTA2010,529,8,Spuyten Duyvil-Kingsbridge,14.1,41,16.3
2012-2014,NTA2010,530,8,Kingsbridge Heights,40.3,91,38.5
2012-2014,NTA2010,531,8,Allerton-Pelham Gardens,21.0,64,24.1
2012-2014,NTA2010,533,8,Longwood,76.4,142,70.8
2012-2014,NTA2010,534,8,Melrose South-Mott Haven North,74.1,210,70.4
2012-2014,NTA2010,535,8,Morrisania-Melrose,66.4,177,61.6
2012-2014,NTA2010,536,8,University Heights-Morris Heights,48.0,170,42.6
2012-2014,NTA2010,537,8,Van Nest-Morris Park-Westchester Square,38.1,85,37.5
2012-2014,NTA2010,539,8,Mott Haven-Port Morris,79.3,298,74.8
2012-2014,NTA2010,540,8,Fordham South,53.9,85,44.2
2012-2014,NTA2010,541,8,Mount Hope,58.4,201,51.4
2012-2014,NTA2010,543,8,Norwood,49.7,143,45.3
2012-2014,NTA2010,544,8,Williamsbridge-Olinville,60.2,288,60.6
2012-2014,NTA2010,546,8,Parkchester,25.3,60,24.6
2012-2014,NTA2010,549,8,Pelham Parkway,25.3,59,25.2
2012-2014,NTA2010,552,8,Schuylerville-Throgs Neck-Edgewater Park,20.6,80,21.5
2012-2014,NTA2010,555,8,Soundview-Bruckner,47.3,121,44.3
2012-2014,NTA2010,559,8,Westchester-Unionport,34.4,70,33.0
2012-2014,NTA2010,562,8,Woodlawn-Wakefield,27.8,98,28.6
2012-2014,NTA2010,563,8,West Concourse,57.7,141,51.5
2012-2014,NTA2010,575,8,Crotona Park East,60.8,89,54.8
2012-2014,NTA2010,4709,8,Brooklyn Heights-Cobble Hill,3.1,6,2.8
2012-2014,NTA2010,4717,8,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15.8,100,18.9
2012-2014,NTA2010,4719,8,Brighton Beach,9.8,37,13.2
2012-2014,NTA2010,4721,8,Seagate-Coney Island,61.3,147,65.7
2012-2014,NTA2010,4723,8,West Brighton,6.6,19,13.9
2012-2014,NTA2010,4725,8,Homecrest,7.7,30,8.9
2012-2014,NTA2010,4726,8,Gravesend,26.4,68,28.8
2012-2014,NTA2010,4727,8,Bath Beach,7.7,22,8.4
2012-2014,NTA2010,4728,8,Bensonhurst West,7.7,61,8.2
2012-2014,NTA2010,4729,8,Bensonhurst East,8.1,47,9.1
2012-2014,NTA2010,4730,8,Dyker Heights,6.5,26,6.9
2012-2014,NTA2010,4731,8,Bay Ridge,9.6,67,10.0
2012-2014,NTA2010,4732,8,Sunset Park West,36.4,129,28.7
2012-2014,NTA2010,4733,8,Carroll Gardens-Columbia Street-Red Hook,24.8,70,20.6
2012-2014,NTA2010,4734,8,Sunset Park East,15.7,69,12.5
2012-2014,NTA2010,4735,8,Stuyvesant Heights,54.8,263,51.5
2012-2014,NTA2010,4737,8,Park Slope-Gowanus,13.1,67,10.6
2012-2014,NTA2010,4738,8,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33.1,96,25.1
2012-2014,NTA2010,4740,8,Windsor Terrace,12.5,23,12.2
2012-2014,NTA2010,4741,8,Kensington-Ocean Parkway,12.9,35,12.8
2012-2014,NTA2010,4742,8,Flatbush,20.8,164,19.8
2012-2014,NTA2010,4743,8,Midwood,11.2,50,12.8
2012-2014,NTA2010,4744,8,Madison,8.3,30,9.5
2012-2014,NTA2010,4745,8,Georgetown-Marine Park-Bergen Beach-Mill Basin,8.5,35,9.5
2012-2014,NTA2010,4746,8,Ocean Parkway South,7.9,14,9.6
2012-2014,NTA2010,4750,8,Canarsie,20.9,143,21.4
2012-2014,NTA2010,4758,8,Flatlands,19.6,115,20.6
2012-2014,NTA2010,4760,8,Prospect Lefferts Gardens-Wingate,23.9,136,24.4
2012-2014,NTA2010,4761,8,Crown Heights North,41.7,317,38.8
2012-2014,NTA2010,4763,8,Crown Heights South,26.6,83,25.7
2012-2014,NTA2010,4764,8,Prospect Heights,18.3,25,13.4
2012-2014,NTA2010,4768,8,Fort Greene,38.9,88,33.4
2012-2014,NTA2010,4769,8,Clinton Hill,19.6,48,14.7
2012-2014,NTA2010,4772,8,Williamsburg,17.0,24,14.1
2012-2014,NTA2010,4773,8,North Side-South Side,20.6,58,12.5
2012-2014,NTA2010,4775,8,Bedford,38.5,157,30.9
2012-2014,NTA2010,4776,8,Greenpoint,7.2,16,5.6
2012-2014,NTA2010,4777,8,Bushwick North,46.1,167,35.7
2012-2014,NTA2010,4778,8,Bushwick South,58.5,280,49.2
2012-2014,NTA2010,4779,8,Ocean Hill,57.8,132,55.2
2012-2014,NTA2010,4781,8,Brownsville,57.2,244,56.0
2012-2014,NTA2010,4782,8,East New York,45.0,295,44.2
2012-2014,NTA2010,4783,8,Cypress Hills-City Line,31.0,97,27.8
2012-2014,NTA2010,4785,8,East New York (Pennsylvania Ave),50.7,104,48.4
2012-2014,NTA2010,4788,8,Borough Park,7.4,46,7.2
2012-2014,NTA2010,4790,8,East Williamsburg,27.2,70,22.6
2012-2014,NTA2010,4791,8,East Flatbush-Farragut,21.2,93,22.1
2012-2014,NTA2010,4793,8,Starrett City,39.8,54,52.2
2012-2014,NTA2010,4795,8,Erasmus,30.3,63,29.1
2012-2014,NTA2010,4796,8,Rugby-Remsen Village,26.9,125,28.6
2012-2014,NTA2010,6101,8,Marble Hill-Inwood,25.3,97,23.5
2012-2014,NTA2010,6103,8,Central Harlem North-Polo Grounds,50.7,308,48.4
2012-2014,NTA2010,6104,8,Hamilton Heights,27.6,105,25.1
2012-2014,NTA2010,6106,8,Manhattanville,29.8,51,27.6
2012-2014,NTA2010,6109,8,Morningside Heights,20.1,75,16.0
2012-2014,NTA2010,6111,8,Central Harlem South,35.3,122,31.4
2012-2014,NTA2010,6112,8,Upper West Side,12.2,161,14.1
2012-2014,NTA2010,6113,8,Hudson Yards-Chelsea-Flatiron-Union Square,15.9,95,13.5
2012-2014,NTA2010,6114,8,Lincoln Square,6.0,34,6.4
2012-2014,NTA2010,6115,8,Clinton,12.8,48,10.6
2012-2014,NTA2010,6117,8,Midtown-Midtown South,5.8,13,4.8
2012-2014,NTA2010,6119,8,Turtle Bay-East Midtown,3.2,16,3.5
2012-2014,NTA2010,6120,8,Murray Hill-Kips Bay,12.7,43,10.1
2012-2014,NTA2010,6121,8,Gramercy,8.2,17,6.8
2012-2014,NTA2010,6122,8,East Village,13.0,38,9.6
2012-2014,NTA2010,6123,8,West Village,3.0,17,2.8
2012-2014,NTA2010,6124,8,SoHo-TriBeCa-Civic Center-Little Italy,4.0,12,3.2
2012-2014,NTA2010,6125,8,Battery Park City-Lower Manhattan,5.7,12,3.0
2012-2014,NTA2010,6127,8,Chinatown,14.8,62,15.8
2012-2014,NTA2010,6128,8,Lower East Side,39.2,266,42.8
2012-2014,NTA2010,6131,8,Lenox Hill-Roosevelt Island,5.1,37,5.2
2012-2014,NTA2010,6132,8,Yorkville,6.7,45,6.4
2012-2014,NTA2010,6133,8,East Harlem South,51.6,231,49.7
2012-2014,NTA2010,6134,8,East Harlem North,56.7,254,54.5
2012-2014,NTA2010,6135,8,Washington Heights North,13.9,84,14.3
