Time,GeoType,GeoID,GeoRank,Geography,"Average annual age-adjusted rate per 10,000",Average annual number,"Average annual rate per 10,000"
2017-2019,NTA2010,501,8,Claremont-Bathgate,289.1,712,296.9
2017-2019,NTA2010,503,8,Eastchester-Edenwald-Baychester,158.4,453,158.4
2017-2019,NTA2010,505,8,Bedford Park-Fordham North,161.3,678,162.5
2017-2019,NTA2010,506,8,Belmont,226.0,420,203.6
2017-2019,NTA2010,507,8,Bronxdale,127.4,386,125.9
2017-2019,NTA2010,508,8,West Farms-Bronx River,142.4,385,143.3
2017-2019,NTA2010,509,8,Soundview-Castle Hill-Clason Point-Harding Park,159.0,665,160.3
2017-2019,NTA2010,510,8,Pelham Bay-Country Club-City Island,63.0,124,58.3
2017-2019,NTA2010,513,8,Co-op City,80.6,282,69.6
2017-2019,NTA2010,514,8,East Concourse-Concourse Village,208.5,"1,000",209.2
2017-2019,NTA2010,517,8,East Tremont,281.3,869,283.1
2017-2019,NTA2010,522,8,North Riverdale-Fieldston-Riverdale,31.1,67,29.5
2017-2019,NTA2010,526,8,Highbridge,174.5,500,179.2
2017-2019,NTA2010,527,8,Hunts Point,230.0,429,228.6
2017-2019,NTA2010,528,8,Van Cortlandt Village,90.3,351,90.2
2017-2019,NTA2010,529,8,Spuyten Duyvil-Kingsbridge,38.7,90,35.2
2017-2019,NTA2010,530,8,Kingsbridge Heights,122.7,295,122.0
2017-2019,NTA2010,531,8,Allerton-Pelham Gardens,87.0,203,79.8
2017-2019,NTA2010,533,8,Longwood,233.9,474,235.9
2017-2019,NTA2010,534,8,Melrose South-Mott Haven North,309.1,941,310.5
2017-2019,NTA2010,535,8,Morrisania-Melrose,263.4,768,268.6
2017-2019,NTA2010,536,8,University Heights-Morris Heights,193.3,799,198.3
2017-2019,NTA2010,537,8,Van Nest-Morris Park-Westchester Square,128.8,276,130.0
2017-2019,NTA2010,539,8,Mott Haven-Port Morris,320.2,"1,247",320.2
2017-2019,NTA2010,540,8,Fordham South,206.0,405,209.1
2017-2019,NTA2010,541,8,Mount Hope,208.6,804,211.5
2017-2019,NTA2010,543,8,Norwood,176.0,549,176.1
2017-2019,NTA2010,544,8,Williamsbridge-Olinville,185.4,907,183.5
2017-2019,NTA2010,546,8,Parkchester,104.9,255,103.8
2017-2019,NTA2010,549,8,Pelham Parkway,76.1,171,75.1
2017-2019,NTA2010,552,8,Schuylerville-Throgs Neck-Edgewater Park,73.7,260,73.0
2017-2019,NTA2010,555,8,Soundview-Bruckner,141.3,389,141.0
2017-2019,NTA2010,559,8,Westchester-Unionport,116.5,250,116.4
2017-2019,NTA2010,562,8,Woodlawn-Wakefield,160.3,531,156.0
2017-2019,NTA2010,563,8,West Concourse,211.2,594,216.4
2017-2019,NTA2010,575,8,Crotona Park East,187.6,302,189.2
2017-2019,NTA2010,4709,8,Brooklyn Heights-Cobble Hill,14.8,27,12.8
2017-2019,NTA2010,4717,8,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.9,200,37.3
2017-2019,NTA2010,4719,8,Brighton Beach,28.4,72,25.1
2017-2019,NTA2010,4721,8,Seagate-Coney Island,174.7,385,157.9
2017-2019,NTA2010,4723,8,West Brighton,26.4,43,28.1
2017-2019,NTA2010,4725,8,Homecrest,17.0,55,16.8
2017-2019,NTA2010,4726,8,Gravesend,90.1,212,87.9
2017-2019,NTA2010,4727,8,Bath Beach,26.1,63,24.0
2017-2019,NTA2010,4728,8,Bensonhurst West,18.6,132,18.3
2017-2019,NTA2010,4729,8,Bensonhurst East,15.6,82,15.4
2017-2019,NTA2010,4730,8,Dyker Heights,16.4,54,15.6
2017-2019,NTA2010,4731,8,Bay Ridge,27.3,169,26.5
2017-2019,NTA2010,4732,8,Sunset Park West,70.4,281,66.6
2017-2019,NTA2010,4733,8,Carroll Gardens-Columbia Street-Red Hook,68.5,207,58.0
2017-2019,NTA2010,4734,8,Sunset Park East,38.2,185,36.9
2017-2019,NTA2010,4735,8,Stuyvesant Heights,165.8,867,165.3
2017-2019,NTA2010,4737,8,Park Slope-Gowanus,39.6,193,31.2
2017-2019,NTA2010,4738,8,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,111.6,391,96.4
2017-2019,NTA2010,4740,8,Windsor Terrace,33.0,55,29.2
2017-2019,NTA2010,4741,8,Kensington-Ocean Parkway,28.8,74,28.6
2017-2019,NTA2010,4742,8,Flatbush,93.1,744,92.2
2017-2019,NTA2010,4743,8,Midwood,29.9,114,28.9
2017-2019,NTA2010,4744,8,Madison,20.7,64,20.1
2017-2019,NTA2010,4745,8,Georgetown-Marine Park-Bergen Beach-Mill Basin,31.9,103,28.5
2017-2019,NTA2010,4746,8,Ocean Parkway South,18.4,23,16.9
2017-2019,NTA2010,4750,8,Canarsie,102.4,672,101.5
2017-2019,NTA2010,4758,8,Flatlands,82.0,442,80.9
2017-2019,NTA2010,4760,8,Prospect Lefferts Gardens-Wingate,151.4,783,142.4
2017-2019,NTA2010,4761,8,Crown Heights North,152.7,"1,268",151.4
2017-2019,NTA2010,4763,8,Crown Heights South,90.5,275,91.5
2017-2019,NTA2010,4764,8,Prospect Heights,48.3,73,40.3
2017-2019,NTA2010,4768,8,Fort Greene,128.4,341,116.2
2017-2019,NTA2010,4769,8,Clinton Hill,65.7,176,54.9
2017-2019,NTA2010,4772,8,Williamsburg,45.1,68,40.0
2017-2019,NTA2010,4773,8,North Side-South Side,50.4,178,38.7
2017-2019,NTA2010,4775,8,Bedford,165.7,809,153.1
2017-2019,NTA2010,4776,8,Greenpoint,37.8,98,30.8
2017-2019,NTA2010,4777,8,Bushwick North,123.0,476,112.4
2017-2019,NTA2010,4778,8,Bushwick South,156.7,846,153.4
2017-2019,NTA2010,4779,8,Ocean Hill,206.9,530,208.3
2017-2019,NTA2010,4781,8,Brownsville,332.1,"1,184",330.0
2017-2019,NTA2010,4782,8,East New York,201.8,"1,370",201.0
2017-2019,NTA2010,4783,8,Cypress Hills-City Line,103.3,364,104.7
2017-2019,NTA2010,4785,8,East New York (Pennsylvania Ave),274.9,554,278.8
2017-2019,NTA2010,4788,8,Borough Park,21.8,121,20.4
2017-2019,NTA2010,4790,8,East Williamsburg,78.0,218,70.0
2017-2019,NTA2010,4791,8,East Flatbush-Farragut,119.9,476,114.7
2017-2019,NTA2010,4793,8,Starrett City,137.8,121,113.0
2017-2019,NTA2010,4795,8,Erasmus,126.9,279,127.4
2017-2019,NTA2010,4796,8,Rugby-Remsen Village,151.1,622,145.8
2017-2019,NTA2010,6101,8,Marble Hill-Inwood,70.8,292,69.7
2017-2019,NTA2010,6103,8,Central Harlem North-Polo Grounds,273.2,"1,794",271.5
2017-2019,NTA2010,6104,8,Hamilton Heights,101.2,415,98.2
2017-2019,NTA2010,6106,8,Manhattanville,151.6,276,149.8
2017-2019,NTA2010,6109,8,Morningside Heights,87.6,351,77.5
2017-2019,NTA2010,6111,8,Central Harlem South,186.2,720,179.1
2017-2019,NTA2010,6112,8,Upper West Side,61.6,648,56.7
2017-2019,NTA2010,6113,8,Hudson Yards-Chelsea-Flatiron-Union Square,60.7,382,55.5
2017-2019,NTA2010,6114,8,Lincoln Square,37.6,186,33.6
2017-2019,NTA2010,6115,8,Clinton,51.8,202,44.4
2017-2019,NTA2010,6117,8,Midtown-Midtown South,32.1,77,29.5
2017-2019,NTA2010,6119,8,Turtle Bay-East Midtown,13.3,55,11.6
2017-2019,NTA2010,6120,8,Murray Hill-Kips Bay,60.2,217,49.9
2017-2019,NTA2010,6121,8,Gramercy,25.3,55,22.1
2017-2019,NTA2010,6122,8,East Village,46.3,151,38.9
2017-2019,NTA2010,6123,8,West Village,10.8,63,10.3
2017-2019,NTA2010,6124,8,SoHo-TriBeCa-Civic Center-Little Italy,13.3,46,12.8
2017-2019,NTA2010,6125,8,Battery Park City-Lower Manhattan,21.4,64,16.2
2017-2019,NTA2010,6127,8,Chinatown,67.5,256,63.0
2017-2019,NTA2010,6128,8,Lower East Side,171.8,945,161.9
2017-2019,NTA2010,6131,8,Lenox Hill-Roosevelt Island,10.5,69,9.4
2017-2019,NTA2010,6132,8,Yorkville,26.7,150,21.8
2017-2019,NTA2010,6133,8,East Harlem South,249.2,"1,167",244.1
